miR	Col0	cyp71-2	cyp71-3	cyp71-2/Col0	cyp71-3/Col0
ath-miR156a	301.2	539.7	405	1.79	1.34
ath-miR156b	301.2	539.7	405	1.79	1.34
ath-miR156c	301.2	539.7	405	1.79	1.34
ath-miR156e	301.2	539.7	405	1.79	1.34
ath-miR156f	301.2	539.7	405	1.79	1.34
ath-miR156g	1	1.7	1.3	1.7	1.3
ath-miR157a	54	69.3	49.3	1.28	0.91
ath-miR157b	54	69.3	49.3	1.28	0.91
ath-miR157d	0.8	1.6	1	2	1.25
ath-miR158a	1724.7	1420.3	1431.6	0.82	0.83
ath-miR158b	8.8	14.7	15.2	1.67	1.73
ath-miR159a	1344.3	849.3	835.9	0.63	0.62
ath-miR159b	1013.2	441.9	437.2	0.44	0.43
ath-miR159c	4.2	2	1.8	0.48	0.43
ath-miR160a	6.6	3.9	3.7	0.59	0.56
ath-miR160b	6.6	3.9	3.7	0.59	0.56
ath-miR160c	6.6	3.9	3.7	0.59	0.56
ath-miR161.1	11192.4	10176.7	11090.6	0.91	0.99
ath-miR161.2	12.8	9.3	7.2	0.73	0.56
ath-miR162a	708	403.7	419.8	0.57	0.59
ath-miR162b	708	403.7	419.8	0.57	0.59
ath-miR163	150.7	84.4	80.6	0.56	0.53
ath-miR164a	15.1	21.9	20	1.45	1.32
ath-miR164b	15.1	21.9	20	1.45	1.32
ath-miR164c	3.8	3	2.1	0.79	0.55
ath-miR165a	220.2	125.1	135	0.57	0.61
ath-miR165b	220.2	125.1	135	0.57	0.61
ath-miR166a	601.1	568.8	469	0.95	0.78
ath-miR166b	601.1	568.8	469	0.95	0.78
ath-miR166c	601.1	568.8	469	0.95	0.78
ath-miR166d	601.1	568.8	469	0.95	0.78
ath-miR166e	601.1	568.8	469	0.95	0.78
ath-miR166f	601.1	568.8	469	0.95	0.78
ath-miR166g	601.1	568.8	469	0.95	0.78
ath-miR167a	114.2	76.5	79.5	0.67	0.7
ath-miR167b	114.2	76.5	79.5	0.67	0.7
ath-miR167c	1.1	0.2	0.3	0.18	0.27
ath-miR167d	10.8	8.9	8.5	0.82	0.79
ath-miR168a	14.8	14	15.5	0.95	1.05
ath-miR168b	14.8	14	15.5	0.95	1.05
ath-miR169a	1.5	1	1	0.67	0.67
ath-miR169b	0.2	0.1	0.2	0.5	1
ath-miR169c	0.2	0.1	0.2	0.5	1
ath-miR169h	1.7	0.2	0.4	0.12	0.24
ath-miR169k	1.7	0.2	0.4	0.12	0.24
ath-miR169m	1.7	0.2	0.4	0.12	0.24
ath-miR170	0.2	0.2	0.3	1	1.5
ath-miR171a	20.1	14.7	18.4	0.73	0.92
ath-miR171b	3.8	3.2	3.4	0.84	0.89
ath-miR171c	3.8	3.2	3.4	0.84	0.89
ath-miR172a	27.7	16.5	21.7	0.6	0.78
ath-miR172b	27.7	16.5	21.7	0.6	0.78
ath-miR172c	5.3	1.3	1.1	0.25	0.21
ath-miR172d	5.3	1.3	1.1	0.25	0.21
ath-miR172e	1.1	0.3	0.5	0.27	0.45
ath-miR1886.1	0.3	0.5	0.5	1.67	1.67
ath-miR1886.2	1.8	0.9	1.3	0.5	0.72
ath-miR1888	0.8	0.2	0.5	0.25	0.62
ath-miR2111a	0	0.1	0	inf	0
ath-miR2111b	0	0.1	0	inf	0
ath-miR2112-3p	0.1	0.2	0.1	2	1
ath-miR2112-5p	0.2	0.2	0	1	0
ath-miR2934	0	0	0	0	0
ath-miR319a	94.1	109.3	101.6	1.16	1.08
ath-miR319b	94.1	109.3	101.6	1.16	1.08
ath-miR319c	44.6	36.4	28.8	0.82	0.65
ath-miR3434	1.2	1.3	1.4	1.08	1.17
ath-miR390a	15.2	20.4	18.2	1.34	1.2
ath-miR390b	15.2	20.4	18.2	1.34	1.2
ath-miR391	2.1	2.3	2.2	1.1	1.05
ath-miR3932a	0	0.2	0.1	inf	inf
ath-miR3932b	0	0.2	0.1	inf	inf
ath-miR393a	2.1	2.3	2.7	1.1	1.29
ath-miR393b	2.1	2.3	2.7	1.1	1.29
ath-miR394a	26.4	16.8	19.4	0.64	0.73
ath-miR394b	26.4	16.8	19.4	0.64	0.73
ath-miR395a	3.3	1.3	2.7	0.39	0.82
ath-miR395b	13.4	3.4	6.2	0.25	0.46
ath-miR395c	13.4	3.4	6.2	0.25	0.46
ath-miR395d	3.3	1.3	2.7	0.39	0.82
ath-miR395e	3.3	1.3	2.7	0.39	0.82
ath-miR395f	13.4	3.4	6.2	0.25	0.46
ath-miR396a	27.2	14	10.6	0.51	0.39
ath-miR396b	190.1	104.3	71.1	0.55	0.37
ath-miR397a	0.2	0.3	0.3	1.5	1.5
ath-miR397b	3.1	6.8	7.4	2.19	2.39
ath-miR398a	19.8	47.6	32.9	2.4	1.66
ath-miR398b	942.9	1981.2	1861.1	2.1	1.97
ath-miR398c	942.9	1981.2	1861.1	2.1	1.97
ath-miR399a	0.2	0.3	0.1	1.5	0.5
ath-miR399b	18.2	11.9	6.8	0.65	0.37
ath-miR399c	18.2	11.9	6.8	0.65	0.37
ath-miR399d	0	0	0	0	0
ath-miR399f	0.1	0.1	0	1	0
ath-miR400	0.6	0.9	0.8	1.5	1.33
ath-miR402	0.3	0.3	0.4	1	1.33
ath-miR403	137.7	73.2	66.9	0.53	0.49
ath-miR408	156.8	310.1	272	1.98	1.73
ath-miR4243	0	0.1	0	inf	0
ath-miR472	1.5	0.7	0.5	0.47	0.33
ath-miR771	0	0	0	0	0
ath-miR774	0	0.1	0	inf	0
ath-miR775	27.9	16.1	17.4	0.58	0.62
ath-miR777	0.2	0.1	0	0.5	0
ath-miR778	0	0	0	0	0
ath-miR779.2	2	1	0.5	0.5	0.25
ath-miR780.1	0.1	0.1	0	1	0
ath-miR780.2	0.1	0	0	0	0
ath-miR781	16.4	8	7.5	0.49	0.46
ath-miR822	16.6	11.4	6.4	0.69	0.39
ath-miR823	1.5	1	0.6	0.67	0.4
ath-miR824	18.4	17.3	14.7	0.94	0.8
ath-miR825	5.5	2.1	2	0.38	0.36
ath-miR826	1.4	1.3	0.7	0.93	0.5
ath-miR827	2.8	2.3	1.6	0.82	0.57
ath-miR828	0	0.1	0.1	inf	inf
ath-miR829.1	1.3	1	0.8	0.77	0.62
ath-miR829.2	1	0.2	0.3	0.2	0.3
ath-miR830	0.4	0.2	0.2	0.5	0.5
ath-miR831	2.2	1.2	0.8	0.55	0.36
ath-miR833-3p	0.1	0.2	0.1	2	1
ath-miR837-3p	1	0.3	0.1	0.3	0.1
ath-miR837-5p	0.2	0.2	0.2	1	1
ath-miR838	0.7	0.7	0.6	1	0.86
ath-miR839	0.1	0	0	0	0
ath-miR840	0.6	1.2	0.7	2	1.17
ath-miR841	0.4	0	0	0	0
ath-miR842	0.7	0.5	0.1	0.71	0.14
ath-miR843	5.1	52.7	23.6	10.33	4.63
ath-miR844	0	0.1	0	inf	0
ath-miR845a	21.5	253.4	240.3	11.79	11.18
ath-miR845b	0.2	0.7	0.8	3.5	4
ath-miR846	63.2	17.4	11.6	0.28	0.18
ath-miR847	0.3	0.2	0.1	0.67	0.33
ath-miR848	0.4	0.6	0.2	1.5	0.5
ath-miR849	0.2	0.1	0.1	0.5	0.5
ath-miR850	0.4	0.2	0.5	0.5	1.25
ath-miR851-3p	0	0	0	0	0
ath-miR851-5p	0	0	0	0	0
ath-miR853	0.1	0	0	0	0
ath-miR856	0	0	0	0	0
ath-miR858	13.7	5	6.3	0.36	0.46
ath-miR859	0.1	1.1	0.3	11	3
ath-miR860	1	1.1	0.9	1.1	0.9
ath-miR861-3p	0.6	0.7	1	1.17	1.67
ath-miR861-5p	0	0	0	0	0
ath-miR862-5p	0.2	0	0.1	0	0.5
ath-miR863-3p	0.2	0.3	0.1	1.5	0.5
ath-miR863-5p	1.4	0.7	0.8	0.5	0.57
ath-miR864-5p	0.2	0.1	0.1	0.5	0.5
ath-miR866-3p	5.3	5.6	2.2	1.06	0.42
ath-miR867	0	0	0	0	0
ath-miR869.2	7	2.1	1.5	0.3	0.21
ath-miR173	70.8	45	50.8	0.64	0.72
ath-miR1886.3	0	0.1	0	inf	0
ath-miR3933	0	0	0	0	0
ath-miR862-3p	0	0	0	0	0
ath-miR156d	18.4	15.3	10.2	0.83	0.55
ath-miR156h	0	0	0	0	0
ath-miR157c	31.9	41.8	32.2	1.31	1.01
ath-miR169d	0	0	0	0	0
ath-miR169e	0	0	0	0	0
ath-miR169f	0.2	0	0.1	0	0.5
ath-miR169g	0.2	0	0.1	0	0.5
ath-miR169i	2.2	0.7	0.7	0.32	0.32
ath-miR169j	2.2	0.7	0.7	0.32	0.32
ath-miR169l	2.2	0.7	0.7	0.32	0.32
ath-miR169n	2.2	0.7	0.7	0.32	0.32
ath-miR4240	0	0	0	0	0
ath-miR447a.1	7.1	3.8	3.3	0.54	0.46
ath-miR447a.3	17.9	8.6	6.2	0.48	0.35
ath-miR447b.1	7.1	3.8	3.3	0.54	0.46
ath-miR447b.3	17.9	8.6	6.2	0.48	0.35
ath-miR773	1.6	2.8	2.2	1.75	1.38
ath-miR776	0	0	0	0	0
ath-miR832	0	0	0	0	0
ath-miR833-5p	0.1	0	0.1	0	1
ath-miR848.2	43.4	26.2	19.4	0.6	0.45
ath-miR852	0.4	0.3	0.2	0.75	0.5
ath-miR853.2	0.9	1.4	0.9	1.56	1
ath-miR860.2	0	0.1	0.1	inf	inf
ath-miR864-3p	0	0	0	0	0
ath-miR865	1.4	0.8	0.6	0.57	0.43
ath-miR866-5p	0.1	0.2	0.1	2	1
ath-miR868	0	0	0.1	0	inf
ath-miR870	0.5	0.2	0.3	0.4	0.6
ath-miR399e	0	0	0	0	0
ath-miR401	0	0	0	0	0
ath-miR404	0	0.1	0.1	inf	inf
ath-miR405a	0	0	0	0	0
ath-miR405b	0	0	0	0	0
ath-miR405d	0	0	0	0	0
ath-miR406	0	0	0	0	0
ath-miR407	0	0	0	0	0
ath-miR413	0	0	0	0	0
ath-miR414	0	0	0	0	0
ath-miR415	0	0	0	0	0
ath-miR416	0	0	0	0	0
ath-miR417	0	0	0	0	0
ath-miR418	0	0	0	0	0
ath-miR419	0	0	0	0	0
ath-miR420	0	0	0	0	0
ath-miR426	0	0	0	0	0
ath-miR447c	0	0	0	0	0
ath-miR782	0	0	0	0	0
ath-miR783	0	0	0	0	0
ath-miR834	0	0	0	0	0
ath-miR836	0	0	0	0	0
ath-miR855	0	0	0	0	0
ath-miR854a	0	0	0	0	0
ath-miR854b	0	0	0	0	0
ath-miR854c	0	0	0	0	0
ath-miR854d	0	0	0	0	0
ath-miR857	0.9	1.4	1.4	1.56	1.56
ath-miR1887	0	0	0	0	0
ath-miR3440b-5p	0.1	0	0	0	0
ath-miR835-3p	0	0.1	0	inf	0
ath-miR2937	0	0	0	0	0
ath-miR4239	0	0	0	0	0
ath-miR3440b-3p	0.6	0.3	0.4	0.5	0.67
ath-miR2939	0	0	0	0	0
ath-miR2935	0	0	0	0	0
ath-miR2933b	0	0	0	0	0
ath-miR841b	0	0	0	0	0
ath-miR773b	0	0	0	0	0
ath-miR774b	0	0	0	0	0
ath-miR2936	0	0	0	0	0
ath-miR2938	0	0	0	0	0
ath-miR4228	0.1	0	0	0	0
ath-miR4227	0	0	0	0	0
ath-miR2933a	0	0	0	0	0
ath-miR854e	0	0	0	0	0
ath-miR835-5p	0.1	0.1	0	1	0
ath-miR4221	0	0	0	0	0
