target	Col0_rep1	Col0_rep2	Col0_rep3	cyp71_rep1	cyp71_rep2	cyp71_rep3	se_rep1	se_rep2	se_rep3
AT1G53160 (SPL4)	4.07	4.47	4.39	5.99	5.7	5.72	3.53	4.9	5.6
AT3G54990 (SMZ)	13.37	10.92	10.78	16.27	15.29	15.29	4.55	4.11	5.51
AT1G06180 (MYB13)	13.25	12.0	12.88	18.55	17.67	17.68	11.9	11.32	11.9
AT2G28550 (RAP2-7)	70.5	68.08	71.65	78.35	83.72	79.37	54.63	53.86	54.3
AT4G29900 (ACA10)	18.98	19.89	20.06	22.32	22.58	22.74	20.12	18.47	19.09
AT4G36920 (AP2)	14.86	14.82	14.49	18.81	19.24	19.35	14.83	13.82	15.15
AT5G60120 (TOE2)	14.03	14.89	14.29	22.83	23.76	22.09	14.77	14.5	12.94
AT2G28350 (ARF10)	17.17	17.46	17.1	20.72	20.42	21.3	18.97	18.97	17.64
AT2G47940 (DEGP2)	98.87	94.63	101.0	129.2	135.55	132.33	86.87	83.05	77.77
AT5G06100 (MYB33)	9.51	9.41	9.65	16.62	16.14	16.84	12.53	11.62	12.7
AT3G57230 (AGL16)	25.0	21.78	24.03	30.33	29.66	27.7	27.2	22.41	27.14
AT1G02660 (PLIP2)	3.1	3.41	3.61	7.2	7.64	6.01	13.37	13.56	11.97
AT5G27660 (DEGP14)	2.1	2.6	3.0	5.04	5.37	4.03	3.04	3.39	2.98
AT2G34530	2.12	1.93	2.19	3.68	3.27	3.05	2.49	3.38	3.27
AT5G01370 (ACI1)	4.73	5.03	4.42	8.32	8.45	9.58	5.69	6.48	6.04
AT1G33140 (PGY2)	103.35	103.03	104.99	140.48	121.37	137.92	103.98	134.11	130.24
AT1G66700 (PXMT1)	1.71	1.12	0.93	2.9	3.53	2.65	3.21	2.69	3.21
AT5G06510 (NFYA10)	2.05	2.85	1.81	7.41	7.83	8.01	3.17	2.84	2.95
AT2G22840 (GRF1)	4.81	6.11	6.0	13.57	12.21	12.49	12.15	13.12	13.82
AT3G05690 (NFYA2)	7.73	6.83	7.35	13.63	15.45	13.39	17.07	16.28	18.53
AT1G72830 (NFYA3)	3.51	3.28	3.57	5.84	5.82	5.64	7.17	6.86	6.77
AT1G54160 (NFYA5)	2.27	2.1	1.79	4.74	4.89	5.13	2.31	3.24	2.27
AT5G49330 (MYB111)	1.99	1.95	1.86	3.76	4.02	4.1	3.03	2.74	2.85
AT3G57920 (SPL15)	2.96	2.7	2.48	4.21	4.32	4.12	4.45	5.11	5.19
AT5G67180 (TOE3)	4.06	4.06	4.03	5.92	6.89	6.32	6.58	6.86	7.21
AT2G36400 (GRF3)	7.87	7.73	8.24	13.36	13.15	14.47	12.04	11.7	13.2
AT1G17590 (NFYA8)	3.72	3.39	3.47	5.58	5.44	4.19	5.69	6.15	7.25
AT4G37740 (GRF2)	4.94	5.19	5.25	6.37	6.74	7.16	9.73	9.4	10.02
AT2G03220 (FUT1)	8.41	8.77	8.68	11.48	12.67	12.36	13.0	11.94	11.16
AT1G69770 (CMT3)	11.57	11.48	11.93	16.72	16.25	16.73	16.7	13.9	14.28
AT5G57700	8.1	5.76	8.06	10.17	10.48	8.7	10.52	9.1	10.19
AT2G34710 (PHB)	22.28	24.15	21.88	27.15	30.45	29.18	33.63	30.38	31.75
AT5G65020 (ANN2)	40.27	41.45	41.71	61.25	62.08	58.03	57.11	62.19	62.19
AT1G30490 (PHV)	13.14	13.08	13.93	18.47	19.19	18.06	21.32	19.51	18.09
AT1G62670 (RPF2)	2.76	3.32	2.5	3.33	3.3	3.81	5.7	5.43	5.16
AT1G62930 (RPF3)	2.98	3.42	2.85	3.26	3.08	3.45	5.97	6.92	6.09
AT2G45480 (GRF9)	2.98	3.84	3.07	3.93	3.63	2.85	7.13	6.48	6.62
AT1G02860 (BAH1)	6.32	7.13	6.0	6.52	6.08	8.5	14.08	12.59	11.83
AT1G62590 (PPR-AC)	3.37	3.98	3.9	4.85	4.74	5.29	7.55	6.02	5.71
AT1G63400	1.33	1.58	1.81	2.01	2.17	1.94	3.06	2.56	2.56
AT2G02850 (ARPN)	4.74	4.09	3.72	2.31	2.89	1.78	9.29	10.2	11.17
AT1G52150 (ATHB-15)	16.23	18.08	17.74	20.04	21.73	20.83	33.48	29.75	27.8
AT5G41170 (RFL24)	1.32	1.12	1.17	1.54	1.38	1.17	2.85	1.69	1.59
AT3G20910 (NFYA9)	6.74	6.42	6.24	8.67	7.41	6.96	9.5	10.01	9.11
