miRNA	target
miR156a-j	AT1G27360
miR156a-j	AT1G27370
miR156a-j	AT1G53160
miR156a-j	AT1G69170
miR156a-g,i,j	AT2G33810
miR156a-j	AT3G15270
miR156a-j	AT3G57920
miR156a-j	AT5G43270
miR156a-j	AT5G50570
miR156a-j	AT5G50670
miR157a-d	AT1G27360
miR157a-d	AT1G27370
miR157a-d	AT1G53160
miR157a-c	AT2G42200
miR157a-d	AT3G57920
miR157a-d	AT5G43270
miR157d	AT1G69170
miR157d	AT3G15270
miR157d	AT5G50570
miR157d	AT5G50670
miR158a-b	AT2G03220
miR159a-b	AT2G34010
miR159a-c	AT3G11440
miR159a-b	AT4G15530
miR159a-c	AT4G27330
miR159a-c	AT5G06100
miR160a-c	AT1G77850
miR160a-c	AT2G28350
miR160a-c	AT4G30080
miR161.1	AT1G06580
miR161.1	AT1G62670
miR161.1	AT1G64583
miR161.2	AT1G62590
miR161.2	AT1G62910
miR161.2	AT1G62914
miR161.2	AT1G62930
miR161.2	AT1G63150
miR161.2	AT1G63330
miR161.2	AT1G63400
miR161.2	AT5G41170
miR162a-b	AT1G01040
miR162a-b	AT3G15170
miR162a-b	AT5G53950
miR163	AT1G66690
miR163	AT1G66700
miR163	AT1G66720
miR163	AT3G44860
miR164a-c	AT1G56010
miR164a-c	AT3G12977
miR164a-b	AT5G07680
miR164a-c	AT5G39610
miR164a-c	AT5G61430
miR164c	AT3G15170
miR164c	AT5G53950
miR165a-b	AT1G30490
miR165a-b	AT2G34710
miR165a-b	AT5G60690
miR166a-g	AT1G30490
miR166a-g	AT1G52150
miR166a-g	AT2G34710
miR166a-g	AT5G60690
miR167a-b	AT5G37020
miR169a-c,h-n	AT1G17590
miR169a-c,h-n	AT1G54160
miR169a-c,h-n	AT1G72830
miR169a-c	AT3G20910
miR169a-c	AT5G12840
miR169h-n	AT1G48500
miR169h-n	AT3G05690
miR169h-n	AT5G06510
miR170	AT2G45160
miR170	AT3G60630
miR170	AT4G00150
miR171a-c	AT2G45160
miR171a-c	AT3G60630
miR171a-c	AT4G00150
miR171a	AT4G01910
miR172a-e	AT2G28550
miR172a-e	AT2G39250
miR172a-e	AT3G54990
miR172a-e	AT4G36920
miR172a-e	AT5G60120
miR172a-e	AT5G67180
miR1886.1	AT2G47940
miR2112	AT4G00760
miR2938	AT4G08870
miR2939	AT3G19890
miR319a-c	AT1G30210
miR319a-c	AT1G53230
miR319a-c	AT2G31070
miR319a-c	AT3G15030
miR319a-c	AT4G18390
miR390a-b	AT3G24660
miR391	AT1G10700
miR391	AT4G29900
miR393a-b	AT1G12820
miR393a-b	AT3G23690
miR393a-b	AT3G26810
miR393a-b	AT3G62980
miR393a-b	AT4G03190
miR393b	AT1G02660
miR394a-b	AT1G27340
miR395a-f	AT3G22890
miR395a-f	AT5G10180
miR395a-f	AT5G43780
miR396a-b	AT2G22840
miR396a-b	AT2G34530
miR396a-b	AT2G36400
miR396a-b	AT2G45480
miR396a	AT3G01040
miR396a-b	AT3G52910
miR396a-b	AT4G24150
miR396a-b	AT4G37740
miR396a-b	AT5G01370
miR396a-b	AT5G43060
miR396a-b	AT5G53660
miR396b	AT1G60140
miR396b	AT3G14110
miR397a-b	AT2G29130
miR397a-b	AT2G38080
miR397a-b	AT5G60020
miR397b	AT3G57870
miR397b	AT3G60250
miR398a	AT1G08830
miR398a-c	AT3G15640
miR398a-c	AT5G14550
miR398b-c	AT3G06370
miR399a-f	AT2G33770
miR400	AT1G06580
miR400	AT1G62720
miR400	AT1G64580
miR400	AT3G16710
miR400	AT3G22470
miR400	AT4G19440
miR402	AT4G34060
miR403	AT1G31280
miR403	AT4G21510
miR408	AT2G02850
miR408	AT2G47020
miR414	AT5G63740
miR415	AT5G17580
miR472	AT5G43730
miR472	AT5G43740
miR5014a	AT5G57700
miR5022	AT5G52060
miR5630b	AT1G33140
miR5641	AT5G03795
miR5657	AT5G27660
miR5663	AT3G56190
miR773b	AT3G24982
miR775	AT1G53290
miR777	AT2G29710
miR778	AT2G22740
miR8166	AT2G17900
miR8182	AT5G65020
miR823	AT1G69770
miR824	AT3G14560
miR824	AT3G57230
miR827	AT1G02860
miR835	AT5G46170
miR838	AT5G46030
miR858a	AT1G06180
miR858a	AT1G66230
miR858a	AT2G47460
miR858a	AT3G61250
miR858a-b	AT5G49330
miR859	AT3G21170
miR860	AT5G26030
miR866	AT4G21400
